市,city,cities,code,Area,socio-accessibility,gini,Diff.Accessibility,GDP,人口规模,Population Scale (million),Population Density (%),Economic Level (%),Urbanization Level (%)
遵义市,遵义,Zunyi,520300,Western,0.23368951,0.409623366,0.351920032,3075252,6.570070307,6.5923,5.446392485,8.344505084,0.1531
赣州市,赣州,Ganzhou,360700,Central,0.281759923,0.368459487,0.326846499,3450595,6.72287044,8.980002,5.352189832,8.364741068,0.1916
常德市,常德,Changde,430700,Central,0.275513237,0.397388534,0.385591756,4865833,6.397262933,5.261415809,5.798971435,9.002208578,0.3031
菏泽市,菏泽,Heze,371700,Eastern,0.345171362,0.336053844,0.3273342,2901000,6.773617989,8.7324,6.571652974,8.112827479,0.2531
珠海市,珠海,Zhuhai,440400,Eastern,0.253100085,0.36293837,0.553349669,4732742,4.40696312,2.4667,6.186002841,10.98400376,0.9904
衡阳市,衡阳,Hengyang,430400,Central,0.379113677,0.302156964,0.374060493,4454628,6.570742897,6.616628971,6.144829204,8.741615924,0.2892
九江市,九江,Jiujiang,360400,Central,0.254835683,0.361289277,0.359773551,3067749,6.131400387,4.560674,5.498888057,8.808668062,0.2387
连云港市,连云港,Lianyungang,320700,Eastern,0.192447164,0.454602784,0.490822346,3449236,6.148104982,4.602,6.435781711,8.927446816,0.3687
宿迁市,宿迁,Suqian,321300,Eastern,0.341892799,0.331688595,0.278648073,2781900,6.248545649,4.999,6.404616701,8.594154233,0.2628
茂名市,茂名,Maoming,440900,Eastern,0.311506862,0.358291935,0.378592801,6572548,6.504467798,6.2197,6.368358698,9.198976042,0.365
乌鲁木齐市,乌鲁木齐,Urumqi,650100,Western,0.243260035,0.326559827,0.597322046,4085834,5.201420929,4.048436293,5.019132424,9.898475011,0.9797
北京市,北京,Beijing,110000,Eastern,0.180125176,0.46221625,0.534124735,36631000,7.046490608,21.89,6.527694725,10.37539562,0.7907
许昌市,许昌,Xuchang,411000,Central,0.219899899,0.436555841,0.523923434,4116846,6.100049858,4.382,6.7939929,9.137662146,0.1868
湖州市,湖州,Huzhou,330500,Eastern,0.292501695,0.357810763,0.340501675,4907516,5.548219687,3.407,6.089838211,9.857548321,0.29
江门市,江门,Jiangmen,440700,Eastern,0.295479523,0.338254666,0.393567489,7300825,5.945368251,4.8351,5.992364142,9.859065335,0.5803
中山市,中山,Zhongshan,442000,Eastern,0.297098434,0.326452191,0.501387111,5014043,4.926238677,4.4669,6.641038556,10.50818596,0.4877
湛江市,湛江,Zhanjiang,440800,Eastern,0.409262349,0.265681218,0.319012486,5209716,6.570798925,7.0309,6.3499778,9.034676603,0.2611
周口市,周口,Zhoukou,411600,Central,0.274475347,0.37976185,0.354711187,4034625,6.979778222,8.853,6.800882509,8.247220053,0.1117
德州市,德州,Dezhou,371400,Eastern,0.225082944,0.430291814,0.330944529,5566800,6.302655605,5.6,6.267674819,9.23190615,0.2306
威海市,威海,Weihai,371000,Eastern,0.21607647,0.407265421,0.494626474,8360200,5.511935697,2.9146,6.121483528,10.42709119,0.4442
东营市,东营,Dongying,370500,Eastern,0.138016214,0.482333396,0.604185612,6960800,5.17507571,2.195,5.407889003,10.58476456,0.324
株洲市,株洲,Zhuzhou,430200,Central,0.220107763,0.436952453,0.556238438,3830868,5.923185706,3.88627304,5.803446798,9.278653012,0.4079
曲靖市,曲靖,Qujing,530300,Western,0.273903526,0.396451885,0.378489227,2816110,6.330059529,5.701,5.268682561,8.525359754,0.2406
滁州市,滁州,Chuzhou,341100,Central,0.272133752,0.392679388,0.328524892,3005000,6.07059915,3.99,5.768789636,8.847934753,0.309
绵阳市,绵阳,Mianyang,510700,Western,0.331823804,0.319241916,0.438959205,3965792,6.268186779,4.883,5.56087392,8.930494185,0.2222
新乡市,新乡,Xinxiang,410700,Central,0.245334795,0.399041397,0.417461871,3789452,6.322098345,6.171,6.524340271,8.845057054,0.2172
兰州市,兰州,Lanzhou,620100,Western,0.110799638,0.527662496,0.706652741,4400803,5.718211211,4.38430094,5.449234252,9.584658751,0.5768
